id,name,gender,trading_style,instrument_type,ticker_or_contract,profit_example,profit_category
25,Hannah Stewart,Female,Position Trading,Options,TSLA 2025-10-17 P 250,"$57,762.80",Absolute $
26,Maxwell Sanders,Male,Position Trading,Stock,BABA,"$132,053.40",Weekly P&L
27,Hannah Harris,Female,Momentum Trading,Stock,DIS,"$19,636.29",Net P&L
28,Evelyn Cruz,Female,Swing Trading,Options,AAPL 2025-12-19 C 180,1035.23%,Realized Profit
29,Reese Perez,Non-binary,Algorithmic Trading,Stock,NFLX,1795.13%,Paper Gain
30,Charles King,Male,Pairs Trading,Futures,GC Dec25,"$189,329.41",Weekly P&L
31,Vivian Morales,Female,Algorithmic Trading,Stock,V,1116.28%,Before Fees
32,Andrew Davis,Male,Mean Reversion,Stock,NFLX,"$76,957.12",Monthly P&L
33,Adam Rodriguez,Male,Quantitative Trading,Crypto,ADA,"$172,571.83",Net P&L
34,Charlotte Richardson,Female,Trend Following,Stock,ORCL,328.94%,Daily P&L
35,Gabriel Gomez,Male,Pairs Trading,Stock,BABA,"$182,254.58",Unrealized Profit
36,Cole Reed,Male,Algorithmic Trading,Futures,ES Dec25,"$-16,885.86",Return (%)
37,Hannah Mitchell,Female,Pairs Trading,Stock,DIS,1973.19%,Per Trade Profit
38,Clara Peterson,Female,Position Trading,Stock,ORCL,182.01%,Unrealized Profit
39,Josephine Peterson,Female,Algorithmic Trading,Stock,V,327.55%,Per Trade Profit
40,Valentina Morales,Female,Swing Trading,Stock,SQ,"$55,893.94",Gross P&L
41,Caleb Foster,Male,Mean Reversion,Stock,JPM,1058.53%,Absolute $
42,Camila Martinez,Female,Momentum Trading,Futures,ETH-PERP,"$158,648.75",Net of Taxes
43,Skylar Taylor,Female,Swing Trading,Stock,HD,341.16%,Net P&L
44,Willow Jimenez,Female,Options Spreads,Crypto,TRX,1473.9%,Net P&L
45,Layla Evans,Female,Trend Following,Stock,PFE,764.6%,Per Trade Profit
46,Hannah Wright,Female,Position Trading,Stock,NKE,"$-40,318.85",After Fees
47,Victor Collins,Male,High Frequency Trading,Stock,PEP,"$115,008.30",Absolute $
48,Maxwell Rodriguez,Male,News Trading,Futures,CL Nov25,739.32%,Monthly P&L
49,Sophia Anderson,Female,Mean Reversion,Options,NVDA 2026-01-21 C 350,"$195,887.64",Realized Profit
50,Eli Hall,Male,Options Spreads,Crypto,DOT,973.99%,Absolute $
51,Victoria Allen,Female,Day Trading,Stock,MA,"$151,627.72",Per Trade Profit
52,Quinn Patel,Female,Options Spreads,Crypto,DOT,"$116,059.42",Return (%)
53,Ariel Thomas,Female,Pairs Trading,Crypto,BNB,584.98%,Daily P&L
54,Jackson Harris,Male,Mean Reversion,Stock,PG,531.99%,Before Fees
55,Stella Torres,Female,Trend Following,Stock,KO,"$60,539.95",Net P&L
56,Quinn Perez,Female,Trend Following,Crypto,BNB,"$187,999.92",Net P&L
57,Nora Sanchez,Female,High Frequency Trading,Stock,MSFT,1183.68%,Weekly P&L
58,Hunter Watson,Male,Quantitative Trading,Crypto,DOGE,"$10,996.11",Per Trade Profit
59,Delilah Foster,Female,High Frequency Trading,Options,MSFT 2025-11-21 P 300,"$189,491.51",Before Fees
60,Madelyn Young,Female,Futures Roll,Futures,ES Dec25,"$66,160.81",Before Fees
61,Payton Green,Non-binary,Options Spreads,Futures,GC Dec25,1050.53%,Paper Gain
62,Caroline Edwards,Female,Carry Trade,Stock,BRK.B,994.73%,Per Trade Profit
63,Ezra Martinez,Male,Carry Trade,Crypto,ADA,"$173,256.71",Unrealized Profit
64,Jayden Roberts,Male,Algorithmic Trading,Crypto,DOGE,"$51,899.84",Before Fees
65,Mia Clark,Female,Day Trading,Options,MSFT 2025-11-21 P 300,1507.75%,Absolute $
66,Willow Hill,Female,Options Spreads,Crypto,TRX,"$133,658.52",Weekly P&L
67,Nora Morales,Female,Statistical Arbitrage,Stock,MA,"$34,032.39",Per Trade Profit
68,Rylee Perez,Female,Day Trading,Options,TSLA 2025-10-17 P 250,1142.97%,Per Trade Profit
69,Dominic Diaz,Male,Mean Reversion,Stock,DIS,"$44,775.97",Net P&L
70,Leah Ross,Female,Options Spreads,Options,NVDA 2026-01-21 C 350,"$-29,523.44",Realized Profit
71,Amelia Hall,Female,Swing Trading,Stock,AMZN,1894.18%,Net P&L
72,Samantha Martin,Female,Position Trading,Stock,NFLX,"$4,491.14",Daily P&L
73,Leo Perez,Male,Position Trading,Crypto,DOGE,243.91%,Gross P&L
74,Elijah Flores,Male,Quantitative Trading,Crypto,ATOM,"$128,753.68",Unrealized Profit
75,Peyton Young,Female,Pairs Trading,Stock,MRNA,1160.86%,Unrealized Profit
76,Alice Garcia,Female,News Trading,Stock,MA,"$111,885.81",Realized Profit
77,Anna Wilson,Female,Futures Roll,Stock,HD,814.52%,Daily P&L
78,Ariana Wright,Female,Statistical Arbitrage,Crypto,ATOM,"$156,433.65",Net of Taxes
79,George Young,Male,Carry Trade,Options,AAPL 2025-12-19 C 180,412.11%,After Fees
80,Clara Carter,Female,Trend Following,Stock,NFLX,"$3,029.96",Weekly P&L
81,Mateo Kim,Male,Day Trading,Crypto,BNB,"$-2,235.89",Net P&L
82,Anna Bailey,Female,Statistical Arbitrage,Crypto,DOGE,930.72%,Weekly P&L
83,Jaxon Lewis,Male,Pairs Trading,Stock,BRK.B,674.94%,Before Fees
84,Claire Myers,Female,Futures Roll,Crypto,DOT,"$12,850.92",Unrealized Profit
85,Natalie Thomas,Female,Mean Reversion,Crypto,SHIB,"$134,651.16",Gross P&L
86,Sloane Ortiz,Female,Algorithmic Trading,Crypto,ETH,"$40,220.27",Gross P&L
87,Luis Taylor,Male,Pairs Trading,Stock,MSFT,165.19%,Monthly P&L
88,Elizabeth Johnson,Female,Statistical Arbitrage,Crypto,LTC,"$-3,909.08",Realized Profit
89,Maxwell Morris,Male,Quantitative Trading,Stock,AMZN,"$94,255.29",Per Trade Profit
90,Mateo Reed,Male,High Frequency Trading,Futures,ES Dec25,"$141,110.86",Net of Taxes
91,Samantha Lewis,Female,Futures Roll,Crypto,MATIC,524.44%,Net of Taxes
92,Parker Reed,Non-binary,Position Trading,Crypto,XRP,336.35%,Net P&L
93,Mason Lee,Male,Scalping,Stock,INTC,"$52,129.39",Daily P&L
94,Zoe Jones,Female,Pairs Trading,Stock,NKE,853.47%,Per Trade Profit
95,Gabriel Watson,Male,Algorithmic Trading,Crypto,SHIB,"$86,140.59",Per Trade Profit
96,Julian Jackson,Male,Pairs Trading,Stock,TSLA,"$156,060.08",Gross P&L
97,Adrian Ruiz,Male,Carry Trade,Stock,PG,"$73,448.80",Unrealized Profit
98,Skylar Patel,Female,Day Trading,Stock,JPM,"$190,477.78",Monthly P&L
99,Gabriella Williams,Female,Carry Trade,Futures,ETH-PERP,"$140,777.25",Paper Gain
100,Ariana Cruz,Female,Options Spreads,Futures,NQ Dec25,932.62%,Unrealized Profit
101,Paisley Nelson,Female,Mean Reversion,Stock,GOOGL,"$123,418.42",Gross P&L
102,Brooklyn Ross,Female,Scalping,Crypto,LTC,"$30,818.45",Weekly P&L
103,Evan Smith,Male,Futures Roll,Crypto,LINK,"$-3,104.36",Return (%)
104,Maya Watson,Female,Algorithmic Trading,Stock,MSFT,"$-17,246.69",Gross P&L
105,Victor Morales,Male,High Frequency Trading,Stock,BABA,552.58%,Realized Profit
106,Emily Lewis,Female,Futures Roll,Futures,ES Dec25,1260.19%,Paper Gain
107,Vivian Nguyen,Female,Options Spreads,Crypto,BNB,1958.51%,Net P&L
108,Mila Roberts,Female,Momentum Trading,Stock,PYPL,480.12%,Weekly P&L
109,Leah Cook,Female,Pairs Trading,Stock,AAPL,1658.7%,Net of Taxes
110,Dakota Martin,Non-binary,News Trading,Stock,NFLX,"$140,718.17",Absolute $
111,Emilia Harris,Female,Quantitative Trading,Futures,NQ Dec25,"$143,886.12",Realized Profit
112,Jonathan Price,Male,Quantitative Trading,Futures,GC Dec25,1564.03%,Per Trade Profit
113,Dakota Jones,Non-binary,Trend Following,Stock,CRM,1735.8%,After Fees
114,Landon Johnson,Male,Momentum Trading,Crypto,MATIC,"$145,381.32",Gross P&L
115,Steven Gomez,Male,Trend Following,Crypto,TRX,1704.62%,Absolute $
116,Dakota Cooper,Non-binary,High Frequency Trading,Stock,AMZN,1833.95%,Net P&L
117,Skylar Gonzalez,Female,Position Trading,Crypto,DOGE,"$123,500.29",Realized Profit
118,Giovanni Davis,Male,Options Spreads,Stock,HD,"$82,791.58",Net of Taxes
119,Chloe Perez,Female,Quantitative Trading,Stock,PYPL,405.74%,Net of Taxes
120,Adrian Brooks,Male,Day Trading,Stock,JPM,877.03%,Gross P&L
121,Scarlett Martinez,Female,Pairs Trading,Stock,HD,791.05%,Gross P&L
122,Stella Sanchez,Female,Position Trading,Futures,GC Dec25,"$92,980.67",Net of Taxes
123,Victor Nguyen,Male,Quantitative Trading,Stock,PEP,"$91,482.25",Per Trade Profit
124,Amelia Cox,Female,Pairs Trading,Crypto,TRX,383.25%,Weekly P&L
125,Brandon Harris,Male,Momentum Trading,Crypto,AVAX,1797.15%,Per Trade Profit
126,Joel Cruz,Male,Momentum Trading,Stock,HD,"$23,777.61",Daily P&L
127,Wyatt Taylor,Male,Carry Trade,Options,NVDA 2026-01-21 C 350,439.64%,Monthly P&L
128,Kendall Myers,Non-binary,Futures Roll,Options,AAPL 2025-12-19 C 180,195.59%,Net P&L
129,Rylee Gray,Female,News Trading,Futures,BTC-PERP,"$48,643.64",Gross P&L
130,Naomi Mitchell,Female,Carry Trade,Crypto,AVAX,"$155,604.33",Return (%)
131,Jayden Stewart,Male,Trend Following,Stock,UBER,364.87%,Unrealized Profit
132,Elena Hughes,Female,Position Trading,Stock,MA,"$186,565.38",Gross P&L
133,Rowan Gonzalez,Non-binary,Momentum Trading,Stock,INTC,"$42,752.88",Daily P&L
134,Aaliyah Turner,Female,Momentum Trading,Crypto,DOGE,1275.34%,Monthly P&L
135,Paisley Scott,Female,Algorithmic Trading,Stock,HD,"$187,638.79",Monthly P&L
136,Tristan Mitchell,Male,News Trading,Crypto,AVAX,"$18,970.36",Unrealized Profit
137,Jules Lopez,Non-binary,Day Trading,Crypto,AVAX,"$33,377.29",Paper Gain
138,Eleanor Rodriguez,Female,Algorithmic Trading,Options,TSLA 2025-10-17 P 250,389.3%,Weekly P&L
139,Adam Smith,Male,Momentum Trading,Stock,NVDA,"$149,628.46",Unrealized Profit
140,Sophia Taylor,Female,High Frequency Trading,Stock,KO,"$-46,054.73",Gross P&L
141,Eric Turner,Male,Scalping,Crypto,DOGE,"$144,504.26",Before Fees
142,Genesis Cook,Female,Swing Trading,Stock,PYPL,1808.38%,Per Trade Profit
143,Naomi Chavez,Female,Statistical Arbitrage,Futures,ES Dec25,795.17%,Unrealized Profit
144,Isla Martinez,Female,Momentum Trading,Options,NVDA 2026-01-21 C 350,"$18,754.00",Per Trade Profit
145,Vivian Adams,Female,Pairs Trading,Stock,PYPL,"$101,356.70",Unrealized Profit
146,Camila Wood,Female,Algorithmic Trading,Crypto,SHIB,"$172,022.76",Absolute $
147,Landon Phillips,Male,Trend Following,Stock,GOOGL,"$116,276.97",Return (%)
148,Shawn Rodriguez,Non-binary,Scalping,Stock,AMZN,"$136,147.24",Return (%)
149,Madelyn Davis,Female,Trend Following,Crypto,LINK,762.7%,Monthly P&L
150,Delilah Diaz,Female,Pairs Trading,Options,AAPL 2025-12-19 C 180,638.46%,Net of Taxes
151,Aria James,Female,Position Trading,Stock,ABNB,"$89,066.37",Unrealized Profit
152,Kinsley Lewis,Female,Carry Trade,Options,AAPL 2025-12-19 C 180,"$18,317.60",Weekly P&L
153,Ryan Hall,Male,Momentum Trading,Stock,ABNB,"$50,196.09",Paper Gain
154,Sophia Lopez,Female,Quantitative Trading,Crypto,ADA,"$35,224.00",Return (%)
155,Theodore Jimenez,Male,Scalping,Futures,BTC-PERP,226.72%,Weekly P&L
156,Hadley Hernandez,Female,Options Spreads,Stock,ORCL,"$60,511.05",Gross P&L
157,Evan Anderson,Male,Pairs Trading,Stock,GOOGL,1145.58%,Before Fees
158,Charlotte Lewis,Female,Swing Trading,Stock,PYPL,"$25,354.84",Net P&L
159,Sloane Allen,Female,Day Trading,Stock,GOOGL,"$57,663.75",Paper Gain
160,Miles Robinson,Male,News Trading,Crypto,TRX,"$165,441.09",Realized Profit
161,Landon Martinez,Male,Quantitative Trading,Options,MSFT 2025-11-21 P 300,777.16%,Unrealized Profit
162,Theodore Perez,Male,News Trading,Options,MSFT 2025-11-21 P 300,"$161,121.09",Net P&L
163,Hudson Ortiz,Male,Pairs Trading,Stock,ABNB,365.3%,Weekly P&L
164,Evan Brooks,Male,Algorithmic Trading,Stock,ADBE,633.69%,Daily P&L
165,Skyler Walker,Non-binary,Algorithmic Trading,Stock,JPM,"$-11,782.55",Weekly P&L
166,Layla Foster,Female,Futures Roll,Crypto,LTC,1752.3%,Per Trade Profit
167,Samantha Adams,Female,Momentum Trading,Options,NVDA 2026-01-21 C 350,"$67,230.27",Per Trade Profit
168,Mateo Ramos,Male,Scalping,Stock,ADBE,"$62,978.47",Realized Profit
169,Anthony Martinez,Male,Scalping,Crypto,TRX,964.84%,After Fees
170,Quinn Garcia,Female,Algorithmic Trading,Stock,KO,"$68,907.26",Paper Gain
171,Nico Wilson,Non-binary,Scalping,Options,NVDA 2026-01-21 C 350,"$-6,860.27",Net P&L
172,Isla Ortiz,Female,News Trading,Crypto,SOL,"$20,723.39",Absolute $
173,Hadley Kim,Female,Trend Following,Stock,BABA,"$-26,373.51",Per Trade Profit
174,Isaac Castillo,Male,Trend Following,Options,TSLA 2025-10-17 P 250,"$115,903.03",Return (%)
175,Damian Hughes,Male,Scalping,Crypto,SOL,"$44,169.83",Weekly P&L
176,Jackson Bennett,Male,Scalping,Crypto,DOGE,789.15%,Return (%)
177,Christopher White,Male,Statistical Arbitrage,Futures,CL Nov25,"$199,994.16",Paper Gain
178,Beau Gonzalez,Male,Swing Trading,Crypto,LINK,1740.42%,Net of Taxes
179,Isaiah Martin,Male,Mean Reversion,Stock,PEP,-8.25%,Return (%)
180,Zoey Cruz,Female,Futures Roll,Crypto,SHIB,"$9,792.12",Weekly P&L
181,Victoria Mitchell,Female,Futures Roll,Crypto,XRP,"$20,442.93",Absolute $
182,Savannah Lee,Female,Carry Trade,Options,TSLA 2025-10-17 P 250,"$70,147.66",Return (%)
183,Elizabeth Alvarez,Female,Pairs Trading,Options,AAPL 2025-12-19 C 180,"$-9,921.92",After Fees
184,Skyler Parker,Non-binary,High Frequency Trading,Stock,SQ,1757.72%,Realized Profit
185,Josiah Cook,Male,Scalping,Stock,PG,"$-42,953.11",Unrealized Profit
186,Ariana Nelson,Female,Swing Trading,Options,TSLA 2025-10-17 P 250,"$157,440.40",Daily P&L
187,Sloane Price,Female,Day Trading,Stock,PYPL,-60.09%,Net P&L
188,Cora Sanders,Female,Position Trading,Crypto,MATIC,399.04%,Unrealized Profit
189,Hunter Brooks,Male,Scalping,Options,MSFT 2025-11-21 P 300,"$176,286.72",Net of Taxes
190,Peyton Rogers,Female,Momentum Trading,Crypto,DOGE,"$-49,608.92",Return (%)
191,Hunter White,Male,News Trading,Crypto,ETH,"$81,514.86",Before Fees
192,Valentina Peterson,Female,Statistical Arbitrage,Stock,ABNB,"$46,720.33",Return (%)
193,Oliver Rivera,Male,High Frequency Trading,Options,NVDA 2026-01-21 C 350,1219.34%,Weekly P&L
194,Delilah Nelson,Female,Trend Following,Stock,HD,267.69%,Weekly P&L
195,Lydia Morris,Female,Momentum Trading,Crypto,SHIB,"$144,047.60",After Fees
196,Wyatt Garcia,Male,Trend Following,Options,AAPL 2025-12-19 C 180,982.31%,Monthly P&L
197,Hazel Jones,Female,Pairs Trading,Crypto,ADA,"$145,210.39",Monthly P&L
198,Ellie Thomas,Female,Quantitative Trading,Options,MSFT 2025-11-21 P 300,1778.74%,Absolute $
199,Carter Murphy,Male,Carry Trade,Crypto,DOT,1426.87%,Unrealized Profit
200,Kaden White,Male,Position Trading,Crypto,DOT,"$115,229.81",Gross P&L
201,Riley Diaz,Male,News Trading,Stock,DIS,"$131,703.60",Return (%)
202,Skylar Scott,Female,Swing Trading,Crypto,SHIB,"$109,378.13",Return (%)
203,Josephine Gray,Female,Momentum Trading,Stock,AAPL,1323.99%,After Fees
204,Henry Walker,Male,News Trading,Crypto,DOT,"$91,811.16",Net of Taxes
205,Aaron Mitchell,Male,Scalping,Stock,MRNA,"$82,364.97",Absolute $
206,Mateo Young,Male,Mean Reversion,Futures,ES Dec25,"$46,746.85",Before Fees
207,Micah King,Male,Pairs Trading,Crypto,ADA,1997.12%,Net P&L
208,George Martinez,Male,Futures Roll,Stock,UBER,1602.08%,Monthly P&L
209,Emerson Price,Non-binary,Pairs Trading,Stock,INTC,1687.86%,Daily P&L
210,Lydia Brooks,Female,High Frequency Trading,Stock,HD,$245.09,Paper Gain
211,Easton Brown,Male,News Trading,Stock,CRM,"$195,752.99",Paper Gain
212,Emily Rodriguez,Female,Statistical Arbitrage,Stock,NKE,"$142,291.14",Monthly P&L
213,Sofia Green,Female,Futures Roll,Crypto,LTC,623.48%,Monthly P&L
214,Leilani Ramos,Female,Options Spreads,Stock,NVDA,"$167,052.91",Monthly P&L
215,Mateo Hill,Male,High Frequency Trading,Stock,UNH,"$185,226.01",Gross P&L
216,Hazel Sanchez,Female,Carry Trade,Crypto,LINK,"$25,706.15",Before Fees
217,Dominic Perez,Male,Momentum Trading,Crypto,XRP,"$106,119.80",Net of Taxes
218,Ian Garcia,Male,Scalping,Options,AAPL 2025-12-19 C 180,"$110,363.43",Net of Taxes
219,John Foster,Male,Day Trading,Crypto,XRP,"$106,791.00",Gross P&L
220,Stella Morris,Female,Quantitative Trading,Stock,KO,"$-31,756.74",Realized Profit
221,Hunter Morris,Male,Momentum Trading,Stock,UNH,"$129,590.72",Daily P&L
222,Emerson Phillips,Non-binary,Position Trading,Stock,HD,"$66,618.14",Gross P&L
223,Sebastian Gonzalez,Male,Options Spreads,Stock,PG,"$166,326.88",Paper Gain
224,Kinsley Castillo,Female,Mean Reversion,Stock,MRNA,"$78,681.21",After Fees
225,Maya Williams,Female,Futures Roll,Stock,PG,351.8%,Return (%)
226,Anthony Murphy,Male,Statistical Arbitrage,Crypto,TRX,"$-47,955.65",Unrealized Profit
227,Gabriel Sanders,Male,News Trading,Stock,PG,"$-37,210.58",Before Fees
228,Matthew Torres,Male,Futures Roll,Stock,ADBE,487.41%,Net of Taxes
229,Luna Taylor,Female,News Trading,Futures,GC Dec25,612.08%,Return (%)
230,Madison Cox,Female,Swing Trading,Crypto,LINK,"$-15,740.91",Return (%)
231,Kennedy Collins,Female,Momentum Trading,Stock,UBER,"$103,267.03",Paper Gain
232,Ian Patel,Male,Statistical Arbitrage,Options,NVDA 2026-01-21 C 350,529.56%,Monthly P&L
233,Caleb Gray,Male,Pairs Trading,Stock,MA,1423.18%,Daily P&L
234,Allison Stewart,Female,High Frequency Trading,Stock,BABA,1125.4%,Paper Gain
235,Rylee Richardson,Female,Momentum Trading,Crypto,MATIC,408.61%,Net of Taxes
236,Rowan Harris,Non-binary,Options Spreads,Stock,UNH,"$122,625.07",Absolute $
237,Serenity Stewart,Female,Momentum Trading,Options,AAPL 2025-12-19 C 180,"$90,221.69",Per Trade Profit
238,Audrey Green,Female,Trend Following,Futures,GC Dec25,"$118,967.14",Monthly P&L
239,Sarah Ruiz,Female,Algorithmic Trading,Stock,NFLX,485.91%,Gross P&L
240,Joshua Foster,Male,Statistical Arbitrage,Stock,META,"$37,200.79",Weekly P&L
241,Lillian Thomas,Female,Quantitative Trading,Crypto,LINK,728.52%,Return (%)
242,Skyler Nguyen,Non-binary,Scalping,Stock,NKE,"$60,594.03",Gross P&L
243,Grace Sanchez,Female,Carry Trade,Options,NVDA 2026-01-21 C 350,"$103,919.26",Net of Taxes
244,Benjamin Bennett,Male,High Frequency Trading,Futures,NQ Dec25,"$53,325.34",Daily P&L
245,Eliza Foster,Female,Mean Reversion,Stock,INTC,"$183,758.02",After Fees
246,Madison Long,Female,Pairs Trading,Futures,CL Nov25,1806.67%,Unrealized Profit
247,Riley Morgan,Female,Swing Trading,Crypto,TRX,267.64%,Monthly P&L
248,William Gomez,Male,Pairs Trading,Options,TSLA 2025-10-17 P 250,-80.54%,Net of Taxes
249,Everly Torres,Female,Statistical Arbitrage,Stock,BABA,181.82%,Before Fees
250,Victoria Anderson,Female,Futures Roll,Stock,PFE,1409.06%,Realized Profit
251,Zoe Reed,Female,Mean Reversion,Crypto,ADA,1241.32%,Absolute $
252,Ruby Adams,Female,Position Trading,Stock,ORCL,"$-14,847.03",Return (%)
253,Alex King,Non-binary,Carry Trade,Stock,DIS,534.09%,Daily P&L
254,Lily Wood,Female,Swing Trading,Stock,BRK.B,877.33%,Paper Gain
255,Elias Price,Male,Position Trading,Crypto,DOGE,1875.33%,Return (%)
256,Nora Moore,Female,News Trading,Stock,DIS,"$87,308.63",After Fees
257,Clara Ramirez,Female,Scalping,Crypto,AVAX,"$82,043.28",Return (%)
258,Ian Anderson,Male,Algorithmic Trading,Stock,INTC,"$-12,536.90",Return (%)
259,Isla Anderson,Female,Statistical Arbitrage,Crypto,DOGE,"$77,593.84",Weekly P&L
260,Jackson Rogers,Male,Swing Trading,Stock,CRM,"$118,191.93",Gross P&L
261,Nova Allen,Female,Scalping,Options,TSLA 2025-10-17 P 250,"$36,132.22",Unrealized Profit
262,Mia Rodriguez,Female,Swing Trading,Futures,GC Dec25,"$-5,004.67",Paper Gain
263,Reagan Chavez,Female,Quantitative Trading,Futures,CL Nov25,"$179,278.77",Absolute $
264,Tristan James,Male,News Trading,Options,TSLA 2025-10-17 P 250,"$198,211.69",Absolute $
265,Reagan Lewis,Female,Pairs Trading,Options,AAPL 2025-12-19 C 180,"$129,773.49",Absolute $
266,Riley Young,Female,Carry Trade,Stock,NVDA,"$168,802.04",Weekly P&L
267,Alan James,Male,Day Trading,Stock,MRNA,"$-33,177.27",Net of Taxes
268,Adam Gray,Male,High Frequency Trading,Crypto,BTC,744.76%,Net P&L
269,Delilah Jimenez,Female,Pairs Trading,Stock,ADBE,"$179,099.26",Net of Taxes
270,Adam Foster,Male,High Frequency Trading,Crypto,DOT,"$-14,184.89",Per Trade Profit
271,Paisley Hill,Female,Mean Reversion,Stock,INTC,797.12%,After Fees
272,Asher Chavez,Male,Trend Following,Crypto,SHIB,757.34%,Gross P&L
273,Harrison Morgan,Male,High Frequency Trading,Stock,ABNB,"$126,894.20",Weekly P&L
274,Mia Bailey,Female,Momentum Trading,Stock,MA,"$13,748.91",Return (%)
275,Genesis Mitchell,Female,Algorithmic Trading,Stock,PFE,"$44,291.99",Net of Taxes
276,Evelyn Harris,Female,Statistical Arbitrage,Options,TSLA 2025-10-17 P 250,"$176,758.21",Gross P&L
277,Alex Ramirez,Non-binary,Position Trading,Futures,ETH-PERP,1484.09%,Net P&L
278,Jade Clark,Female,Trend Following,Stock,BRK.B,699.39%,Before Fees
279,Aurora King,Female,Statistical Arbitrage,Stock,UBER,"$150,704.16",Daily P&L
280,Natalie Clark,Female,Swing Trading,Stock,MA,"$5,318.52",Paper Gain
281,Matthew Howard,Male,Pairs Trading,Crypto,MATIC,"$32,466.32",Absolute $
282,Hannah Murphy,Female,Trend Following,Crypto,AVAX,"$155,397.98",Daily P&L
283,Anna Collins,Female,News Trading,Stock,KO,"$130,078.38",After Fees
284,Ezekiel Chavez,Male,Swing Trading,Futures,BTC-PERP,56.09%,Monthly P&L
285,Sloane Smith,Female,High Frequency Trading,Stock,PEP,"$-12,242.59",Net P&L
286,Lucy Davis,Female,Statistical Arbitrage,Crypto,AVAX,-66.96%,Before Fees
287,Emma Williams,Female,Pairs Trading,Crypto,BNB,"$153,289.31",Per Trade Profit
288,Joseph Wilson,Male,Momentum Trading,Futures,BTC-PERP,"$104,945.21",Gross P&L
289,Ellie Gomez,Female,Futures Roll,Stock,PG,"$197,558.26",Net P&L
290,Kaden Hernandez,Male,Swing Trading,Crypto,TRX,"$44,816.01",Before Fees
291,Leilani Johnson,Female,Statistical Arbitrage,Crypto,ETH,1254.31%,Return (%)
292,Ella Ortiz,Female,Algorithmic Trading,Futures,NQ Dec25,1353.8%,Net of Taxes
293,Charlotte Martinez,Female,Swing Trading,Crypto,BNB,"$162,606.90",Realized Profit
294,Oakley Jackson,Non-binary,Quantitative Trading,Crypto,DOGE,528.48%,Net of Taxes
295,Patrick Roberts,Male,Trend Following,Crypto,LINK,"$134,936.29",Weekly P&L
296,Avery Cook,Non-binary,Swing Trading,Crypto,DOT,"$8,036.00",Unrealized Profit
297,Wesley Ward,Male,Trend Following,Futures,GC Dec25,"$18,331.76",After Fees
298,Willow Peterson,Female,Mean Reversion,Futures,GC Dec25,1287.41%,Unrealized Profit
299,Zoe Young,Female,Carry Trade,Crypto,ETH,"$127,919.29",Per Trade Profit
300,Charles Green,Male,Day Trading,Stock,AMZN,833.95%,Weekly P&L
301,Jackson Lopez,Male,Options Spreads,Stock,DIS,"$-27,595.29",Before Fees
302,Adam Adams,Male,Pairs Trading,Options,AAPL 2025-12-19 C 180,"$144,792.28",Daily P&L
303,Reese Kelly,Non-binary,Quantitative Trading,Crypto,AVAX,"$17,229.74",Gross P&L
304,Harper Perez,Female,Pairs Trading,Stock,MA,"$-30,769.66",Gross P&L
305,Dakota Kim,Non-binary,Position Trading,Crypto,LTC,"$-48,308.16",Absolute $
